OTU ID	Bd12	C3	Coma3	neg3	x6Coma	Lipi13	BacMx9	Jliv8	x10Coma	Bd11	Jliv4	Coma102	BacMx3	Lipi8	Coma9	Sp6	Bd7	Lipi12	Coma8	Bd5	BacMx11	Coma4	Bsal5	Bsal10	Lipi2	Jliv9	Bd10	Jliv10	x5Coma	Bd9	Lipi6	Lipi5	Bsal12	x8Coma	Sp8	Bd8	x12Coma	Bd2	Bsal3	BacMx2	Bd6	C5	Bd1	Jliv7	x9Coma	Sp5	Lipi3	Sp13	BacMx4	Lipi7	Bsal2	x3coma	C2	Bsal7	Coma10	BacMx6	Jliv13	Sp12	Sp4	BacMx8	Bsal11	Jliv11	Coma7	C13	x7Coma	Sp9	x1Coma	Coma11	Sp10	C10	Lipi9	Jliv2	x2Coma	C9	x11Coma	Bsal8	Bsal122	Lipi1	Coma5	Sp7	C7	Coma12	Bsal4	Sp3	Mock	BacMx13	Sp2	BacMx10	Bd13	C11	Lipi4
43bd1f3616b955e356811293e63146d2	0.0	9.0	0.0	78.0	6.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	25.0	0.0	5.0	2.0	4.0	14.0	0.0	5.0	0.0	10.0	1.0	0.0	5.0	5.0	15.0	0.0	0.0	6.0	3.0	24.0	7.0	3.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	7.0	26.0	1.0	0.0	0.0	1.0	19.0	1.0	7.0	0.0	4.0	1.0	1.0	6.0	11.0	1.0	1.0	7.0	1.0	3.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	2.0	3.0	0.0	0.0	22.0	0.0	4.0	3.0	0.0	0.0	2.0	0.0	3.0	0.0	2.0	4.0
af69071aa9231b7be650d79bfa807549	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b18b389447d758e7cb173b4b4f2ad960	0.0	8.0	1.0	0.0	9.0	3.0	0.0	0.0	3.0	0.0	14.0	0.0	5.0	0.0	8.0	8.0	9.0	9.0	3.0	2.0	0.0	5.0	6.0	0.0	0.0	0.0	6.0	3.0	47.0	0.0	21.0	0.0	3.0	7.0	26.0	4.0	7.0	0.0	1.0	0.0	11.0	5.0	1.0	6.0	5.0	6.0	2.0	22.0	5.0	6.0	4.0	6.0	3.0	0.0	2.0	1.0	4.0	3.0	6.0	0.0	7.0	0.0	4.0	0.0	0.0	12.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	6.0	0.0	6.0	0.0	4.0	21.0	0.0	0.0	0.0	0.0	0.0	12.0	28.0	0.0	2.0	0.0	0.0
d29fe3c70564fc0f69f2c03e0d1e5561	0.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a9b3d4b2c16f6bb7259838241fdb754	0.0	7.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	4.0	2.0	0.0	6.0	0.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
841e54f5c589e9210fda6ce7f2de4f9b	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	566.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
874ae212c7f69095139a96cc1d55b61e	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	11.0	17.0	6.0	8.0	4.0	10.0	9.0	13.0	10.0	10.0	15.0	67.0	0.0	3.0	37.0	2.0	3.0	17.0	8.0	37.0	3.0	30.0	6.0	0.0	3.0	19.0	0.0	17.0	4.0	0.0	2.0	2.0	9.0	0.0	3.0	0.0	13.0	2.0	29.0	0.0	11.0	0.0	0.0	13.0	0.0	5.0	2.0	26.0	4.0	3.0	0.0	8.0	2.0	2.0	12.0	0.0	6.0	0.0	0.0	22.0	2.0	5.0	0.0	6.0	3.0	4.0	2.0	14.0	0.0	3.0	8.0	7.0	2.0	2.0	0.0	0.0	0.0	5.0	2.0	0.0	2.0	8.0
268b35062e9e35c35e1dc7e5efc43336	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0733bf42976ad60603c281a7397d3fef	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
bb7a07051a3660d27a3ed2b4a8df6dee	0.0	5.0	3.0	0.0	135.0	0.0	0.0	47.0	0.0	0.0	29.0	58.0	0.0	0.0	0.0	5.0	0.0	6.0	5.0	1.0	14.0	0.0	3.0	0.0	0.0	4.0	0.0	110.0	27.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	13.0	8.0	0.0	0.0	4.0	3.0	0.0	6.0	0.0	16.0	29.0	0.0	299.0	10.0	0.0	7.0	52.0	0.0	103.0	14.0	3.0	12.0	22.0	4.0	0.0	4.0	0.0	0.0	3.0	53.0	23.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0
